DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
230911277,07/01/2023 12:00:00 AM,06/10/2023 12:00:00 AM,1010,9,Van Nuys,952,2,354,THEFT OF IDENTITY,1822 0929,45,F,O,203,OTHER BUSINESS,,,IC,Invest Cont,354.0,,,,5200    VAN NUYS                     BL,,34.1649,-118.4487
231609055,06/10/2023 12:00:00 AM,06/10/2023 12:00:00 AM,1323,16,Foothill,1654,1,110,CRIMINAL HOMICIDE,0411 2004 1218,32,M,H,509,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,110.0,998.0,,,10300    NORRIS                       AV,,34.2568,-118.4026
230112930,05/24/2023 12:00:00 AM,05/24/2023 12:00:00 AM,910,1,Central,157,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0913 0408 0429 2004,28,F,W,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,7TH                          ST,SAN PEDRO,34.0401,-118.2459
230314652,08/07/2023 12:00:00 AM,08/07/2023 12:00:00 AM,900,3,Southwest,358,2,624,BATTERY - SIMPLE ASSAULT,1822 0416 0446 0319 1251 0202,30,M,A,203,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,600 W  34TH                         ST,,34.0212,-118.2805
231907299,03/03/2023 12:00:00 AM,03/03/2023 12:00:00 AM,1645,19,Mission,1985,2,946,OTHER MISCELLANEOUS CRIME,0337,22,F,H,108,PARKING LOT,,,IC,Invest Cont,946.0,,,,CHASE,VAN NUYS,34.2248,-118.4488
230905337,02/05/2023 12:00:00 AM,02/02/2023 12:00:00 AM,1330,9,Van Nuys,932,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1822,77,F,W,108,PARKING LOT,,,IC,Invest Cont,331.0,,,,6100 N  SEPULVEDA                    BL,,34.1807,-118.4662
231912304,08/01/2023 12:00:00 AM,07/31/2023 12:00:00 AM,1740,19,Mission,1901,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 0444 0429 1814,18,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,14000    BRIDLE RIDGE                 RD,,34.323,-118.4817
231218005,08/19/2023 12:00:00 AM,08/19/2023 12:00:00 AM,130,12,77th Street,1203,2,901,VIOLATION OF RESTRAINING ORDER,0913 2038,38,F,H,501,SINGLE FAMILY DWELLING,512.0,MACE/PEPPER SPRAY,IC,Invest Cont,901.0,,,,5100 S  ST ANDREWS                   PL,,33.997,-118.3114
230316646,09/14/2023 12:00:00 AM,09/13/2023 12:00:00 AM,1600,3,Southwest,398,2,921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,0913 2056 2058 2054 1536 1510 1508 0903 2035,22,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,921.0,,,,500 W  41ST                         PL,,34.0078,-118.2827
230506309,03/03/2023 12:00:00 AM,02/17/2023 12:00:00 AM,1000,5,Harbor,541,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,108,PARKING LOT,,,IC,Invest Cont,522.0,,,,1400    BRETT                        PL,,33.7553,-118.3056
231315195,08/07/2023 12:00:00 AM,08/06/2023 12:00:00 AM,2255,13,Newton,1367,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 0913 2000 0344,41,M,B,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,1500 E  51ST                         ST,,33.9967,-118.2478
231412129,06/10/2023 12:00:00 AM,06/10/2023 12:00:00 AM,1917,14,Pacific,1494,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 2004,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,442.0,,,,SEPULVEDA,CENTURY,33.9445,-118.3958
231315455,08/10/2023 12:00:00 AM,08/10/2023 12:00:00 AM,1945,13,Newton,1365,1,210,ROBBERY,0913 0602 2001 0344 0554 0400,20,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,1300 E  46TH                         ST,,34.002,-118.2521
230109618,03/30/2023 12:00:00 AM,03/30/2023 12:00:00 AM,900,1,Central,111,1,330,BURGLARY FROM VEHICLE,0344 0352 1300 1307 1609,34,M,K,108,PARKING LOT,,,IC,Invest Cont,330.0,,,,600 N  SPRING                       ST,,34.0582,-118.2387
230808378,04/18/2023 12:00:00 AM,04/18/2023 12:00:00 AM,1823,8,West LA,839,2,755,BOMB SCARE,0404,0,M,O,203,OTHER BUSINESS,511.0,VERBAL THREAT,IC,Invest Cont,755.0,,,,10200    SANTA MONICA                 BL,,34.0611,-118.4184
230117120,08/01/2023 12:00:00 AM,08/01/2023 12:00:00 AM,805,1,Central,127,1,330,BURGLARY FROM VEHICLE,1609 1300 0329 1307 0344,60,M,W,101,STREET,,,IC,Invest Cont,330.0,,,,N  ALAMEDA                      ST,E  TEMPLE                       ST,34.0515,-118.238
231604061,01/03/2023 12:00:00 AM,01/03/2023 12:00:00 AM,1600,16,Foothill,1656,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1912 0913 0443,41,M,O,255,"AUTO DEALERSHIP (CHEVY, FORD, BMW, MERCEDES, ETC.)",511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,8200    FOOTHILL                     BL,,34.2597,-118.3114
232112794,08/11/2023 12:00:00 AM,08/11/2023 12:00:00 AM,2130,21,Topanga,2155,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416,44,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,6000    MAGNOL                       LN,,34.1804,-118.6094
230306550,02/18/2023 12:00:00 AM,02/17/2023 12:00:00 AM,1800,3,Southwest,376,1,520,VEHICLE - ATTEMPT STOLEN,0329 1307 1612 1822,22,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,520.0,,,,1400    EXPOSITION                   BL,,34.0182,-118.3033
230105789,01/27/2023 12:00:00 AM,01/26/2023 12:00:00 AM,1300,1,Central,138,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0385 1300 1606 1822,0,X,X,101,STREET,,,IC,Invest Cont,331.0,,,,500 E  3RD                          ST,,34.0463,-118.2402
231807480,03/10/2023 12:00:00 AM,03/10/2023 12:00:00 AM,1230,18,Southeast,1836,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 0602 0360 0416 0432 2003,40,M,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,230.0,,,,1500 E  107TH                        ST,,33.9388,-118.2479
231510774,06/08/2023 12:00:00 AM,05/17/2023 12:00:00 AM,1535,15,N Hollywood,1526,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",,0,,,203,OTHER BUSINESS,,,IC,Invest Cont,668.0,,,,11600    VICTORY                      BL,,34.1867,-118.3851
231500780,06/03/2023 12:00:00 AM,06/03/2023 12:00:00 AM,1415,15,N Hollywood,1549,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1402 0311,0,M,W,913,MTA - RED LINE - NORTH HOLLYWOOD,,,IC,Invest Cont,745.0,998.0,,,5300    LANKERSHIM                   BL,,34.172,-118.3789
231313978,07/13/2023 12:00:00 AM,07/09/2023 12:00:00 AM,1830,13,Newton,1343,2,624,BATTERY - SIMPLE ASSAULT,0416,45,M,B,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,36TH                         ST,BROADWAY                     ST,34.0114,-118.2624
231413457,06/19/2023 12:00:00 AM,06/13/2023 12:00:00 AM,1530,14,Pacific,1496,1,330,BURGLARY FROM VEHICLE,1606 0344,34,M,B,108,PARKING LOT,,,IC,Invest Cont,330.0,,,,5900 W  CENTURY                      BL,,33.9456,-118.3932
231204712,01/11/2023 12:00:00 AM,01/11/2023 12:00:00 AM,1130,12,77th Street,1235,1,310,BURGLARY,0344 0346 1822 0321 0352,40,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,1400 W  59TH                         PL,,33.9867,-118.3002
231512023,07/09/2023 12:00:00 AM,07/09/2023 12:00:00 AM,200,15,N Hollywood,1522,2,624,BATTERY - SIMPLE ASSAULT,1822 1236,42,F,H,203,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,12900    SHERMAN                      WY,,34.2012,-118.4138
230401197,07/20/2023 12:00:00 AM,07/20/2023 12:00:00 AM,2009,4,Hollenbeck,463,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1402,0,X,X,406,OTHER STORE,,,AA,Adult Arrest,740.0,998.0,,,1900 E  1ST                          ST,,34.0465,-118.2174
231013423,09/06/2023 12:00:00 AM,09/06/2023 12:00:00 AM,640,10,West Valley,1045,2,900,VIOLATION OF COURT ORDER,0913 2038,24,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,900.0,,,,5800    ZELZAH                       AV,,34.1758,-118.5215
230305587,02/01/2023 12:00:00 AM,02/01/2023 12:00:00 AM,1218,3,Southwest,336,2,354,THEFT OF IDENTITY,0100 0922 1822,55,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,2100 W  31ST                         ST,,34.0265,-118.312
231610194,07/17/2023 12:00:00 AM,07/17/2023 12:00:00 AM,630,16,Foothill,1695,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 0344 0321,23,M,H,108,PARKING LOT,,,IC,Invest Cont,331.0,,,,7800    VINELAND                     AV,,34.2108,-118.3719
230610596,06/01/2023 12:00:00 AM,05/31/2023 12:00:00 AM,2300,6,Hollywood,644,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510.0,,,,7100 W  SUNSET                       BL,,34.098,-118.3441
231713854,08/14/2023 12:00:00 AM,08/10/2023 12:00:00 AM,1700,17,Devonshire,1723,1,210,ROBBERY,0344 1822 0391,0,X,X,602,BANK,113.0,SIMULATED GUN,IC,Invest Cont,210.0,998.0,,,10300    MASON                        AV,,34.2573,-118.5798
231514070,08/28/2023 12:00:00 AM,08/28/2023 12:00:00 AM,930,15,N Hollywood,1539,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0913 0421,57,M,H,104,DRIVEWAY,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,5600    DENNY                        AV,,34.1721,-118.3649
231300662,03/30/2023 12:00:00 AM,03/27/2023 12:00:00 AM,1445,13,Newton,1343,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1309,34,F,B,101,STREET,,,AO,Adult Other,740.0,,,,700 E  41ST                         ST,,34.0114,-118.2624
230506874,03/20/2023 12:00:00 AM,03/20/2023 12:00:00 AM,1100,5,Harbor,525,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0422 0432 0913 1251 1259 1309,16,M,H,721,HIGH SCHOOL,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,700 W  C                            ST,,33.7723,-118.2697
230615329,09/16/2023 12:00:00 AM,09/16/2023 12:00:00 AM,545,6,Hollywood,656,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0431 0400 0910,41,M,W,128,BUS STOP/LAYOVER (ALSO QUERY 124),512.0,MACE/PEPPER SPRAY,IC,Invest Cont,230.0,,,,VINE,SANTA MONICA,34.0907,-118.3266
232111464,07/10/2023 12:00:00 AM,07/07/2023 12:00:00 AM,1800,21,Topanga,2128,1,310,BURGLARY,1607 0344,35,M,X,723,PRIVATE SCHOOL/PRESCHOOL,,,IC,Invest Cont,310.0,,,,20200    SATICOY                      ST,,34.212,-118.5754
231510709,06/07/2023 12:00:00 AM,06/03/2023 12:00:00 AM,900,15,N Hollywood,1543,2,649,DOCUMENT FORGERY / STOLEN FELONY,,0,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,649.0,,,,12100    CHANDLER                     BL,,34.1684,-118.3965
231008611,05/01/2023 12:00:00 AM,04/28/2023 12:00:00 AM,1500,10,West Valley,1029,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510.0,,,,6900    HASKELL                      AV,,34.1957,-118.4749
230206348,02/19/2023 12:00:00 AM,02/19/2023 12:00:00 AM,407,2,Rampart,246,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0342 1822 0445 0444 0417 0910,42,F,B,904,MTA - RED LINE - WESTLAKE/MACARTHUR PARK,301.0,BELT FLAILING INSTRUMENT/CHAIN,IC,Invest Cont,230.0,,,,600 S  ALVARADO                     ST,,34.0595,-118.2749
231809146,04/17/2023 12:00:00 AM,04/17/2023 12:00:00 AM,2030,18,Southeast,1863,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0416,34,F,B,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,300 E  120TH                        ST,,33.9237,-118.2696
230607696,03/28/2023 12:00:00 AM,03/27/2023 12:00:00 AM,2200,6,Hollywood,646,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0400,45,F,W,517,MISSIONS/SHELTERS,511.0,VERBAL THREAT,IC,Invest Cont,930.0,999.0,,,1500    SCHRADER                     BL,,34.098,-118.3324
232109249,05/17/2023 12:00:00 AM,05/17/2023 12:00:00 AM,1200,21,Topanga,2141,1,310,BURGLARY,0344 0352 1202 1609,65,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,24000    SYLVAN                       ST,,34.1836,-118.649
231218370,08/26/2023 12:00:00 AM,08/26/2023 12:00:00 AM,945,12,77th Street,1256,1,761,BRANDISH WEAPON,1822 0421 0432 1236 0329 0334,44,F,H,248,CELL PHONE STORE,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,761.0,930.0,,,700 W  FLORENCE                     AV,,33.9747,-118.286
231807880,03/20/2023 12:00:00 AM,03/20/2023 12:00:00 AM,130,18,Southeast,1827,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 0344 0385,25,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,331.0,,,,10100    WILMINGTON                   AV,,33.9446,-118.2391
231312415,06/17/2023 12:00:00 AM,06/17/2023 12:00:00 AM,1430,13,Newton,1351,2,901,VIOLATION OF RESTRAINING ORDER,0913 2000 1813 2038 0443,27,F,H,102,SIDEWALK,511.0,VERBAL THREAT,IC,Invest Cont,901.0,,,,200 W  40TH                         PL,,34.0101,-118.2761
232004281,01/08/2023 12:00:00 AM,01/08/2023 12:00:00 AM,2000,20,Olympic,2025,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 2000 0446 0416,22,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236.0,,,,400 S  MARIPOSA                     AV,,34.0672,-118.2992
230411184,08/09/2023 12:00:00 AM,08/09/2023 12:00:00 AM,145,4,Hollenbeck,489,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0554 0913,53,F,H,501,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,AA,Adult Arrest,930.0,,,,2700    GLENN                        AV,,34.0273,-118.2175
231807955,03/21/2023 12:00:00 AM,03/21/2023 12:00:00 AM,1530,18,Southeast,1822,2,625,OTHER ASSAULT,0913 0448 0419 1300,32,F,B,138,STAIRWELL*,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,625.0,,,,10200 S  BROADWAY,,33.9437,-118.2781
231317523,09/18/2023 12:00:00 AM,09/17/2023 12:00:00 AM,2145,13,Newton,1353,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0319 0443 0913 2040,0,,,501,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,4300 S  CENTRAL                      AV,,34.0037,-118.2609
231111503,07/25/2023 12:00:00 AM,07/24/2023 12:00:00 AM,2300,11,Northeast,1145,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510.0,,,,RIPPLE                       ST,FLETCHER                     DR,34.1078,-118.2544
230307007,02/27/2023 12:00:00 AM,02/27/2023 12:00:00 AM,1425,3,Southwest,305,1,210,ROBBERY,0344 0390 0411 1822 0448 0377 0305 0334,34,F,H,101,STREET,223.0,UNKNOWN TYPE CUTTING INSTRUMENT,IC,Invest Cont,210.0,,,,2500    LUCERNE                      AV,,34.0334,-118.3439
231607835,05/01/2023 12:00:00 AM,04/24/2023 12:00:00 AM,1200,16,Foothill,1656,1,310,BURGLARY,1607 0344,43,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,10200    LANGMUIR                     AV,,34.2542,-118.3088
230109521,03/28/2023 12:00:00 AM,03/28/2023 12:00:00 AM,1950,1,Central,139,1,330,BURGLARY FROM VEHICLE,0344 0329 1307 1609,52,M,W,101,STREET,,,IC,Invest Cont,330.0,,,,200    ROSE                         ST,,34.0472,-118.2371
230312753,06/26/2023 12:00:00 AM,06/26/2023 12:00:00 AM,1350,3,Southwest,374,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0910 0329,32,M,H,102,SIDEWALK,,,IC,Invest Cont,740.0,,,,2500 W  MARTIN LUTHER KING JR        BL,,34.0148,-118.3222
231412590,06/19/2023 12:00:00 AM,06/18/2023 12:00:00 AM,1930,14,Pacific,1446,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 0344,36,M,W,101,STREET,,,IC,Invest Cont,331.0,,,,MITCHELL,GRAND VIEW,34.0014,-118.4285
230118837,08/29/2023 12:00:00 AM,08/29/2023 12:00:00 AM,800,1,Central,166,1,761,BRANDISH WEAPON,1218 2004 2033 0334 1822,34,M,B,101,STREET,102.0,HAND GUN,IC,Invest Cont,761.0,,,,400 E  7TH                          ST,,34.0421,-118.2469
232000768,05/30/2023 12:00:00 AM,05/30/2023 12:00:00 AM,2230,20,Olympic,2019,2,753,DISCHARGE FIREARMS/SHOTS FIRED,1402 0450 1407,0,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102.0,HAND GUN,IC,Invest Cont,753.0,998.0,,,100 S  VIRGIL                       AV,,34.0735,-118.2868
230614542,08/29/2023 12:00:00 AM,08/29/2023 12:00:00 AM,1055,6,Hollywood,636,1,310,BURGLARY,0314 1202 1822 1501 1601 0329,64,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310.0,,,,6500    FRANKLIN                     AV,,34.1052,-118.331
230610510,05/30/2023 12:00:00 AM,05/30/2023 12:00:00 AM,1600,6,Hollywood,639,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510.0,,,,5400    HOLLYWOOD                    BL,,34.1036,-118.3049
231813804,07/22/2023 12:00:00 AM,07/20/2023 12:00:00 AM,2240,18,Southeast,1844,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0913,0,X,X,108,PARKING LOT,,,AO,Adult Other,740.0,,,,400 E  IMPERIAL                     HY,,33.9345,-118.2623
230811049,06/18/2023 12:00:00 AM,06/18/2023 12:00:00 AM,1,8,West LA,885,1,440,THEFT PLAIN - PETTY ($950 & UNDER),2032 1822 0344,48,M,W,102,SIDEWALK,,,IC,Invest Cont,440.0,,,,MOTOR                        AV,SANTA MONICA                 AV,34.0308,-118.411
230710637,06/09/2023 12:00:00 AM,06/05/2023 12:00:00 AM,1600,7,Wilshire,736,2,940,EXTORTION,0913 1814 0337 1402,57,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,940.0,998.0,,,300 S  COCHRAN                      AV,,34.0692,-118.3472
